idStart,idEnd,diffId,round,average,max,min,dateStart,dateEnd,diffTime,length
1042,3921,2879,1,855096.1016527782,855537.12,854762.82,2020-07-08T08:22:20.348Z,2020-07-09T08:34:18.558Z,1451.9701666666667,2880
3922,6801,2879,2,855880.79225,856338.73,855537.56,2020-07-09T08:34:48.550Z,2020-07-10T08:51:46.767Z,1456.9702833333333,2880
6802,9802,3000,3,856684.9450902747,856816.15,856339.16,2020-07-10T08:52:16.761Z,2020-07-11T23:42:46.744Z,2330.4997166666667,2880
9803,12684,2881,4,857136.1855694461,857680.8,856816.21,2020-07-11T23:43:16.756Z,2020-07-13T09:46:14.253Z,2042.9582833333334,2880
12685,15208,2523,5,857960.8517709982,858328.56,857681.3,2020-07-13T09:46:44.241Z,2020-07-14T06:52:42.660Z,1265.97365,2524
